Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,avg_commute_min,occupied_units,no_veh,percent_no_veh,workers_over16,public_transport,ratio_pub_trans
06037111302,14000US06037111302,Census Tract 1113.02,"Census Tract 1113.02, Los Angeles County, California",06,037,111302,38,1817,209,0.12,2429,141,0.06
06037111400,14000US06037111400,Census Tract 1114,"Census Tract 1114, Los Angeles County, California",06,037,111400,31,2878,281,0.1,4291,212,0.05
06037113101,14000US06037113101,Census Tract 1131.01,"Census Tract 1131.01, Los Angeles County, California",06,037,113101,34,1091,8,0.01,1782,136,0.08
06037113102,14000US06037113102,Census Tract 1131.02,"Census Tract 1131.02, Los Angeles County, California",06,037,113102,34,972,21,0.02,1375,33,0.02
06037113211,14000US06037113211,Census Tract 1132.11,"Census Tract 1132.11, Los Angeles County, California",06,037,113211,34,1607,9,0.01,2049,108,0.05
06037113212,14000US06037113212,Census Tract 1132.12,"Census Tract 1132.12, Los Angeles County, California",06,037,113212,34,1088,25,0.02,1789,17,0.01
06037113213,14000US06037113213,Census Tract 1132.13,"Census Tract 1132.13, Los Angeles County, California",06,037,113213,34,1684,26,0.02,2607,163,0.06
06037113231,14000US06037113231,Census Tract 1132.31,"Census Tract 1132.31, Los Angeles County, California",06,037,113231,33,837,28,0.03,1089,4,0.00
06037113232,14000US06037113232,Census Tract 1132.32,"Census Tract 1132.32, Los Angeles County, California",06,037,113232,33,1390,20,0.01,2150,55,0.03
06037113233,14000US06037113233,Census Tract 1132.33,"Census Tract 1132.33, Los Angeles County, California",06,037,113233,28,2508,220,0.09,4479,458,0.10
06037113234,14000US06037113234,Census Tract 1132.34,"Census Tract 1132.34, Los Angeles County, California",06,037,113234,33,1525,79,0.05,2216,186,0.08
06037113235,14000US06037113235,Census Tract 1132.35,"Census Tract 1132.35, Los Angeles County, California",06,037,113235,36,712,41,0.06,947,0,0.00
06037113237,14000US06037113237,Census Tract 1132.37,"Census Tract 1132.37, Los Angeles County, California",06,037,113237,36,1435,35,0.02,1870,31,0.02
06037113301,14000US06037113301,Census Tract 1133.01,"Census Tract 1133.01, Los Angeles County, California",06,037,113301,32,1120,47,0.04,1292,35,0.03
06037113303,14000US06037113303,Census Tract 1133.03,"Census Tract 1133.03, Los Angeles County, California",06,037,113303,29,1410,99,0.07,2094,69,0.03
06037113321,14000US06037113321,Census Tract 1133.21,"Census Tract 1133.21, Los Angeles County, California",06,037,113321,29,2495,136,0.05,3451,38,0.01
06037113322,14000US06037113322,Census Tract 1133.22,"Census Tract 1133.22, Los Angeles County, California",06,037,113322,33,1427,8,0.01,2264,45,0.02
06037113401,14000US06037113401,Census Tract 1134.01,"Census Tract 1134.01, Los Angeles County, California",06,037,113401,30,1860,154,0.08,3107,111,0.04
06037113421,14000US06037113421,Census Tract 1134.21,"Census Tract 1134.21, Los Angeles County, California",06,037,113421,29,2067,163,0.08,3524,297,0.08
06037113422,14000US06037113422,Census Tract 1134.22,"Census Tract 1134.22, Los Angeles County, California",06,037,113422,32,2063,134,0.06,3443,94,0.03
06037115101,14000US06037115101,Census Tract 1151.01,"Census Tract 1151.01, Los Angeles County, California",06,037,115101,30,1616,28,0.02,2400,35,0.01
06037115103,14000US06037115103,Census Tract 1151.03,"Census Tract 1151.03, Los Angeles County, California",06,037,115103,18,30,0,0,1161,97,0.08
06037115104,14000US06037115104,Census Tract 1151.04,"Census Tract 1151.04, Los Angeles County, California",06,037,115104,28,1888,179,0.09,2583,141,0.05
06037115201,14000US06037115201,Census Tract 1152.01,"Census Tract 1152.01, Los Angeles County, California",06,037,115201,25,2723,301,0.11,3740,188,0.05
06037115202,14000US06037115202,Census Tract 1152.02,"Census Tract 1152.02, Los Angeles County, California",06,037,115202,31,1931,79,0.04,3216,79,0.02
06037115301,14000US06037115301,Census Tract 1153.01,"Census Tract 1153.01, Los Angeles County, California",06,037,115301,31,1664,78,0.05,2131,119,0.06
